antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Bag of Organic Bananas,Organic Hass Avocado,0.16608576087999233,0.09813577207175518,0.028906724650657117,0.17404697728147864,1.7735324602553542,1.0,0.012607770276574157,1.0919074125546162,0.5230196574261935,0.12284277755129773,0.08417143385773938,0.23430273269417695
Organic Hass Avocado,Bag of Organic Bananas,0.09813577207175518,0.16608576087999233,0.028906724650657117,0.29455848810687524,1.7735324602553542,1.0,0.012607770276574157,1.182116766678662,0.48361330470917957,0.12284277755129773,0.15405987954163539,0.23430273269417695
Strawberries,Banana,0.06315351901000864,0.2075272599366866,0.02065679659770409,0.3270886075949367,1.576123578631195,1.0,0.007550719842197547,1.1776776987396869,0.3901727672109402,0.08261926077503516,0.15087124340541722,0.21331317899007235
Banana,Strawberries,0.2075272599366866,0.06315351901000864,0.02065679659770409,0.099537750385208,1.5761235786311947,1.0,0.007550719842197547,1.040406170709282,0.4612549624236827,0.08261926077503516,0.038836919509748435,0.21331317899007235
Banana,Organic Avocado,0.2075272599366866,0.0810283631247402,0.025964889841076966,0.12511556240369798,1.5440958891281953,1.0,0.009149295664644775,1.0503920259458324,0.4446485146241791,0.09887968826108134,0.04797449399947273,0.2227787756769871
Organic Avocado,Banana,0.0810283631247402,0.2075272599366866,0.025964889841076966,0.3204419889502762,1.5440958891281953,1.0,0.009149295664644775,1.166159072776095,0.3834414606608104,0.09887968826108134,0.14248405440995793,0.2227787756769871
Organic Strawberries,Bag of Organic Bananas,0.12074313305407221,0.16608576087999233,0.02884277172001407,0.23887711864406777,1.4382757280238605,1.0,0.008789056595694334,1.0956368012933713,0.34656882948004725,0.1117997025285077,0.08728878144698538,0.20626951812064767
Bag of Organic Bananas,Organic Strawberries,0.16608576087999233,0.12074313305407221,0.02884277172001407,0.17366191759722757,1.4382757280238605,1.0,0.008789056595694334,1.0640401134476116,0.365412903263655,0.1117997025285077,0.06018580750693159,0.20626951812064767
Bag of Organic Bananas,Organic Baby Spinach,0.16608576087999233,0.10884788795446551,0.023662584337927287,0.1424720831728918,1.3089099462590617,1.0,0.00558450004682973,1.039210612924227,0.28300931784194183,0.09417154492237212,0.03773115135332612,0.17993169376035895
Organic Baby Spinach,Bag of Organic Bananas,0.10884788795446551,0.16608576087999233,0.023662584337927287,0.2173913043478261,1.3089099462590617,1.0,0.00558450004682973,1.0655570833200099,0.2648318920664538,0.09417154492237212,0.06152376474824824,0.17993169376035895
